Title,Video ID,Tags,Priority listing,Notes
Climate Live Stream - Introduction,396033295,"P, M",6,
Impeachment Vocab 101 - OLC Opinion,508947925,E,7,
Gig Car Share - On Your Terms,508962313,A,8,
Resilience TV ad,199230971,"P, A",9,
In Focus - LaunchDarkly,950338001,T,1,"I'd like to create a new section, ""Tech"""
Six Millions Strong - Need to Impeach,295692329,"P, A",10,
Afraid of Us,380296874,P,11,
Flipped the House,381715174,"P, A",12,
"Hey, 2020 Democrats ",508947686,E,13,
Galaxy 23 - Keynote,950337507,T,2,
Tom Steyer's Climate Justice Plan,354038578,"P, E",14,
Tom Steyer - Iowa Bus Tour,387573859,P,15,
Need to Impeach - 2018,380296795,"P, E",16,
Need to Impeach - DC Summit,508947430,P,17,
Gig Car Share - Slideshow,508962282,"A, T",18,
Brisbane Baylands Project Overview,219768695,M,19,
No on U1 - Digital Ad,199232260,A,20,
Got Housing?,222719191,M,21,
Experimentation with LauchDarkly,950338013,"T, E",3,
Tom Steyer Live Economic Address,380062204,"P, M",22,
Executive Privilege,508947568,E,23,
Invest in Peace - Digital Ad,214928308,"A, M",24,
Clean Energy for SF,284013754,"A, M",25,
The Five Rights - Tom Steyer,301886205,P,26,
Tom and Deanna,508944484,"P, A",27,
Susan Ellenberg for Supervisor,283818650,"P, A",28,
Teacher Pay,372215739,"P, A",29,
User Targeting with LaunchDarkly,950338647,"T, M",5,
NTI - Digital Ad,371981938,"A, M",30,
"Crimes, Corruption, and Coverups",508947324,E,31,
ThoughtSpot CEO Keynote 2020,508965354,"T, M",32,Adding this one to T too
Angel Martinez for Mayor,233055541,"P, A",33,
Meet Sara Gideon,456286137,P,34,
Gig Car Share - Meme,508962385,A,35,
Don Saylor for Assembly,199246479,"P, A",36,
